player,opponent,games_against,wins_against,win_rate_against
enjay,Germ.,4,3,0.75
enjay,RyanZeBlock,4,3,0.75
enjay,"Shuk""!",15,12,0.8
enjay,Siem,10,9,0.9
enjay,SpicyShinobi,8,2,0.25
enjay,Yoky,4,1,0.25
enjay,x0ffe,4,3,0.75
enzo,AbSpectre,3,0,0.0
enzo,Alpha_762,7,4,0.5714285714285714
enzo,Ay_Ant,9,6,0.6666666666666666
enzo,Boydardi,4,3,0.75
enzo,Captain Wolfer,15,8,0.5333333333333333
enzo,Car-.-,5,3,0.6
enzo,CoolNerdGames,23,14,0.6086956521739131
enzo,Deciding,3,3,1.0
enzo,Eclipsed Frog,13,8,0.6153846153846154
enzo,EricTheHispanic,15,6,0.4
enzo,Fastmadcow,5,3,0.6
enzo,Firefi6ht_RL,58,29,0.5
enzo,FriendlyFennec,19,14,0.7368421052631579
enzo,Groovy,11,2,0.18181818181818182
enzo,Infantryboyz09,7,3,0.42857142857142855
enzo,MtnDru,10,3,0.3
enzo,No_Walt,5,2,0.4
enzo,Recktals,13,9,0.6923076923076923
enzo,Ryan,12,9,0.75
enzo,"Shuk""!",15,12,0.8
enzo,Siem,4,3,0.75
enzo,Slik,3,0,0.0
enzo,SpicyShinobi,15,3,0.2
enzo,Suduko,15,12,0.8
enzo,Trickter02,3,0,0.0
enzo,Yoky,30,15,0.5
enzo,Ziyor,5,3,0.6
enzo,bro.ro711,9,4,0.4444444444444444
enzo,brokeboy,3,0,0.0
enzo,chewy_chungus69,17,8,0.47058823529411764
enzo,dray (learning controller,4,1,0.25
enzo,qFoal,4,1,0.25
enzo,ski11acam,4,3,0.75
enzo,tjdubya21,16,4,0.25
faBBenWh  y,Alpha_762,13,4,0.3076923076923077
faBBenWh  y,Ay_Ant,5,3,0.6
faBBenWh  y,Captain Wolfer,4,1,0.25
faBBenWh  y,EricTheHispanic,5,2,0.4
faBBenWh  y,Firefi6ht_RL,15,3,0.2
faBBenWh  y,FriendlyFennec,8,6,0.75
faBBenWh  y,RequitedZeus,5,3,0.6
faBBenWh  y,SpicyShinobi,6,0,0.0
faBBenWh  y,TheRealDunion,7,4,0.5714285714285714
